timestamp,ax,ay,az,gx,gy,gz,p1,p2
7451,4.25,5.83,-5.77,-0.12,0.25,0.01,21,17
7473,3.16,5.49,-7.94,0.25,-0.06,-0.45,23,15
7495,2.94,6.63,-9.87,-0.23,0.6,-0.14,23,17
7517,4.66,7.32,-5.62,-0.52,0.82,0.02,20,18
7539,5.64,7.65,-4.02,-0.27,0.59,0.01,21,21
7561,5.69,7.33,-4.28,-0.02,0.23,-0.03,19,17
7583,5.34,7.18,-5.59,-0.04,0.05,-0.1,24,15
7605,4.57,7.37,-5.88,-0.07,-0.0,-0.13,22,16
7632,4.11,6.9,-6.91,-0.12,0.13,-0.05,20,15
7654,4.54,6.68,-6.7,-0.26,0.32,-0.05,23,19
7676,4.83,7.0,-6.28,-0.32,0.43,-0.15,20,16
7698,5.09,7.54,-5.0,-0.03,0.13,-0.02,23,13
7720,5.25,7.46,-4.59,0.03,0.03,-0.03,22,11
7742,5.07,7.48,-5.81,0.0,-0.17,-0.16,25,16
7764,4.41,7.24,-6.11,-0.08,-0.15,-0.13,20,17
7786,4.4,7.14,-6.05,-0.1,-0.12,-0.03,19,19
7808,4.1,7.62,-6.24,-0.16,-0.08,0.08,21,19
7830,4.87,6.87,-4.91,-0.13,0.05,0.3,28,19
7852,4.47,7.04,-6.22,-0.05,0.01,0.16,18,17
7874,4.62,7.26,-5.94,0.03,0.23,0.2,20,15
7896,4.59,7.07,-5.72,0.13,0.38,0.27,23,19
7918,4.96,6.86,-5.63,0.09,0.34,0.14,21,30
7940,5.43,7.27,-5.69,0.13,0.33,0.04,23,21
7962,5.49,7.01,-5.49,0.14,0.11,-0.14,25,20
7984,5.11,7.42,-6.22,0.06,-0.12,-0.36,22,27
8006,4.61,7.79,-5.73,-0.04,-0.09,-0.35,20,23
8028,5.78,6.98,-5.67,-0.11,-0.29,-0.36,22,15
8050,5.19,7.52,-5.92,-0.16,-0.25,-0.32,16,23
8072,4.91,7.15,-5.86,-0.15,-0.24,-0.27,22,23
8094,4.24,7.28,-5.82,-0.13,-0.18,-0.13,19,31
8116,4.62,7.2,-5.32,-0.12,-0.2,-0.08,20,32
8138,3.62,7.69,-5.78,-0.26,-0.34,0.14,22,23
8160,4.44,7.24,-5.81,-0.16,-0.21,0.24,21,30
8182,4.39,7.39,-6.24,-0.05,0.03,0.05,22,24
8204,3.91,7.58,-5.67,-0.01,0.22,0.1,25,20
8226,4.82,7.59,-5.04,0.15,0.36,0.15,21,18
8248,7.42,8.22,-4.39,0.26,0.29,-0.14,21,14
8270,5.32,9.36,-1.54,0.78,-0.28,-0.13,23,3
8292,4.83,7.23,-3.49,1.08,-0.98,0.21,21,16
8314,4.49,4.38,-8.31,1.05,-1.14,0.11,19,18
8336,2.91,6.07,-11.98,-0.45,0.31,0.26,23,16
8358,4.21,7.07,-6.58,-0.95,0.56,0.42,23,12
8380,3.54,6.57,-4.54,-0.28,0.12,0.21,19,13
8402,4.53,5.92,-6.75,0.19,-0.1,-0.06,21,12
8424,2.76,6.53,-9.95,-0.03,0.28,-0.17,20,14
8446,3.93,7.1,-6.92,-0.39,0.72,0.15,22,8
